curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade,lon,lat,curso_resumido,unidade_pad,code_muni,name_muni,code_state,abbrev_state
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec,Tarde,100,40,2.5,2025,1,etec-albert-einstein,-46.6599827,-23.5049791,Informática para Internet,etec-albert-einstein,3550308,São Paulo,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Serviços Jurídicos - MTec,Manhã,396,40,9.9,2025,1,etec-albert-einstein,-46.6599827,-23.5049791,Serviços Jurídicos,etec-albert-einstein,3550308,São Paulo,35,SP
Ensino Médio com Itinerário Formativo de Ciências da Natureza e suas Tecnologias,Manhã,175,40,4.37,2025,1,etec-albert-einstein,-46.6599827,-23.5049791,Ciências da Natureza e suas Tecnologias,etec-albert-einstein,3550308,São Paulo,35,SP
Serviços Jurídicos,Noite,80,40,2,2025,1,etec-albert-einstein,-46.6599827,-23.5049791,Serviços Jurídicos,etec-albert-einstein,3550308,São Paulo,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-N,Noite,62,40,1.55,2025,1,etec-alberto-santos-dumont-em-jose-de-oliveira-santos-bertioga,-46.2736345,-23.9935686,Administração,etec-alberto-santos-dumont-em-jose-de...,3518701,Guarujá,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Eventos - MTec,Tarde,88,40,2.2,2025,1,etec-alberto-santos-dumont,-46.2736345,-23.9935686,Eventos,etec-alberto-santos-dumont,3518701,Guarujá,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Gastronomia - MTec-N,Noite,58,40,1.45,2025,1,etec-alberto-santos-dumont,-46.2736345,-23.9935686,Gastronomia,etec-alberto-santos-dumont,3518701,Guarujá,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Guia de Turismo - MTec,Tarde,82,40,2.04,2025,1,etec-alberto-santos-dumont,-46.2736345,-23.9935686,Guia de Turismo,etec-alberto-santos-dumont,3518701,Guarujá,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Informática - MTec-N,Noite,177,40,4.42,2025,1,etec-alberto-santos-dumont,-46.2736345,-23.9935686,Informática,etec-alberto-santos-dumont,3518701,Guarujá,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Logística - Mtec-N,Noite,161,40,4.02,2025,1,etec-alberto-santos-dumont,-46.2736345,-23.9935686,Logística,etec-alberto-santos-dumont,3518701,Guarujá,35,SP
