lon,lat,unidade
-47.22105639999999,-22.8573469,etec-de-hortolandia
-47.9995056,-21.9585732,etec-de-ibate
-51.3487707,-20.4322835,etec-de-ilha-solteira-ee-urubupunga
-51.3448268,-20.427942,etec-de-ilha-solteira
-46.7854124,-24.1687614,etec-de-itanhaem
-46.35716009999999,-23.5045652,etec-de-itaquaquecetuba-ceu-tres-pontes
-46.35716009999999,-23.5045652,etec-de-itaquaquecetuba
-46.3898958,-23.5132857,etec-de-itaquera-ceu-parque-veredas
-46.4388806,-23.5470505,etec-de-itaquera-ceu-vila-curuca
-46.4388806,-23.5470505,etec-de-itaquera
-49.3306862,-24.1099321,etec-de-itarare
-49.7603157,-21.6737376,etec-de-lins-ee-fernando-costa
-49.770124,-21.6581069,etec-de-lins-fatec-professor-antonio-seabra
-49.7613557,-21.6731964,etec-de-lins
-47.21351430000001,-23.6590051,etec-de-mairinque-ee-maria-angerami-scalamandre
-47.18476709999999,-23.5510997,etec-de-mairinque
-46.5869602,-23.3224641,etec-de-mairipora
-46.462892600000004,-23.6723755,etec-de-maua-ee-joao-paulo-ii
-46.462892600000004,-23.6723755,etec-de-maua
-47.31615,-22.9489101,etec-de-monte-mor
-46.9797322,-24.2885165,etec-de-peruibe
-47.730368,-23.8060713,etec-de-piedade-emef-profa-hilda-holtz-de-carvalho-pilar-do-sul
-47.730368,-23.8060713,etec-de-piedade
-46.3435453,-23.5135951,etec-de-poa
-47.5213826,-23.2108641,etec-de-porto-feliz
-46.50661360000001,-24.0324491,etec-de-praia-grande-balneario-maracana-praia-grande
-46.4349581,-24.0091127,etec-de-praia-grande
-48.00703739999999,-24.7028031,etec-de-registro-em-prof-carlos-alberto-vigneron-jacupiranga
-47.8481524,-24.4990601,etec-de-registro-faculdade-de-tecnologia-de-registro
-47.84939869999999,-24.5083434,etec-de-registro
-46.39794819999999,-23.7491798,etec-de-rio-grande-da-serra
-50.9271886,-20.2114923,etec-de-santa-fe-do-sul
-46.2261414,-23.3166152,etec-de-santa-isabel
-72.9828697,5.8741303,etec-de-santa-rosa-de-viterbo
-46.6331458,-23.5291814,etec-de-sao-paulo-ceu-butanta
-46.6331458,-23.5291814,etec-de-sao-paulo
-47.2537382,-23.5328007,etec-de-sao-roque-univesp-aluminio
-47.13740019999999,-23.5298156,etec-de-sao-roque
-45.4029319,-23.7931869,etec-de-sao-sebastiao-fatec-de-sao-sebastiao
-45.6910591,-23.7678909,etec-de-sao-sebastiao-instituto-verdescola-sao-sebastiao
-45.69099440000001,-23.7679279,etec-de-sao-sebastiao
-46.48694159999999,-23.6123557,etec-de-sapopemba-ceu-sao-rafael
-46.48694159999999,-23.6123557,etec-de-sapopemba-ceu-sapopemba
