curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,44,35,1.25,2025,1,etec-joao-elias-margutti
Ensino Médio com Habilitação Profissional de Técnico em Logística - Mtec-N,Noite,74,35,2.11,2025,1,etec-joao-elias-margutti
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec,Manhã,82,35,2.34,2025,1,etec-joao-elias-margutti
Recursos Humanos,Noite,49,35,1.4,2025,1,etec-joao-elias-margutti
Segurança do Trabalho,Noite,64,35,1.82,2025,1,etec-joao-elias-margutti
