curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-N,Noite,79,35,2.25,2025,1,etec-armando-pannunzio-emef-vereadora-celia-dias-batista-dos-santos-salto-de-pirapora
Logística,Noite,60,40,1.5,2025,1,etec-armando-pannunzio-emef-vereadora-celia-dias-batista-dos-santos-salto-de-pirapora
