curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Ensino Médio com Habilitação Profissional de Técnico em Agropecuária - MTec-PI,Manhã e Tarde,198,80,2.47,2025,1,etec-professor-francisco-dos-santos
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - Mtec-N,Noite,49,40,1.22,2025,1,etec-professor-francisco-dos-santos
Ensino Médio com Habilitação Profissional de Técnico em Logística - Mtec-N,Noite,50,40,1.25,2025,1,etec-professor-francisco-dos-santos
Segurança do Trabalho,Noite,76,40,1.9,2025,1,etec-professor-francisco-dos-santos
