curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,60,40,1.5,2025,1,etec-irma-agostina
Desenvolvimento de Sistemas - 20% On-line,Noite,133,40,3.32,2025,1,etec-irma-agostina
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,544,40,13.6,2025,1,etec-irma-agostina
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec-PI,Manhã e Tarde,359,40,8.97,2025,1,etec-irma-agostina
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec-PI,Manhã e Tarde,270,40,6.75,2025,1,etec-irma-agostina
Nutrição e Dietética,Noite,81,40,2.02,2025,1,etec-irma-agostina
Química,Noite,55,40,1.37,2025,1,etec-irma-agostina
