curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,119,40,2.97,2025,1,etec-sylvio-de-mattos-carvalho
Eletrotécnica,Noite,82,40,2.04,2025,1,etec-sylvio-de-mattos-carvalho
Enfermagem,Manhã,52,30,1.73,2025,1,etec-sylvio-de-mattos-carvalho
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec,Manhã,395,80,4.93,2025,1,etec-sylvio-de-mattos-carvalho
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec,Tarde,68,40,1.7,2025,1,etec-sylvio-de-mattos-carvalho
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec,Manhã,196,80,2.45,2025,1,etec-sylvio-de-mattos-carvalho
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec-N,Noite,62,40,1.55,2025,1,etec-sylvio-de-mattos-carvalho
Informática,Noite,73,40,1.82,2025,1,etec-sylvio-de-mattos-carvalho
Mecânica,Noite,70,40,1.75,2025,1,etec-sylvio-de-mattos-carvalho
