curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Contabilidade,Noite,56,40,1.4,2025,1,etec-professor-eudecio-luiz-vicente
Enfermagem,Noite,81,30,2.7,2025,1,etec-professor-eudecio-luiz-vicente
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,113,40,2.82,2025,1,etec-professor-eudecio-luiz-vicente
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,148,40,3.7,2025,1,etec-professor-eudecio-luiz-vicente
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec-PI,Manhã e Tarde,67,40,1.67,2025,1,etec-professor-eudecio-luiz-vicente
Ensino Médio com Itinerário Formativo de Ciências Humanas e Sociais Aplicadas,Manhã,100,40,2.5,2025,1,etec-professor-eudecio-luiz-vicente
