curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Enfermagem,Noite,140,40,3.5,2025,1,etec-professora-carmelina-barbosa
Ensino Médio com Habilitação Profissional de Técnico em Agropecuária - MTec-PI,Manhã e Tarde,120,40,3,2025,1,etec-professora-carmelina-barbosa
Ensino Médio com Habilitação Profissional de Técnico em Programação de Jogos Digitais - MTec-PI,Manhã e Tarde,85,40,2.12,2025,1,etec-professora-carmelina-barbosa
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec-PI,Manhã e Tarde,85,40,2.12,2025,1,etec-professora-carmelina-barbosa
Farmácia,Noite,49,40,1.22,2025,1,etec-professora-carmelina-barbosa
Urgência e Emergência - APH (Atendimento Pré-Hospitalar) - Especialização,Noite,78,40,1.95,2025,1,etec-professora-carmelina-barbosa
