curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,56,40,1.4,2025,1,etec-tenente-aviador-gustavo-klug
Enfermagem,Manhã,112,40,2.8,2025,1,etec-tenente-aviador-gustavo-klug
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,85,40,2.12,2025,1,etec-tenente-aviador-gustavo-klug
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec-PI,Manhã e Tarde,117,40,2.92,2025,1,etec-tenente-aviador-gustavo-klug
Ensino Médio com Habilitação Profissional de Técnico em Marketing - MTec-PI,Manhã e Tarde,84,40,2.1,2025,1,etec-tenente-aviador-gustavo-klug
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec,Manhã,165,40,4.12,2025,1,etec-tenente-aviador-gustavo-klug
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec-N,Noite,28,40,0.7,2025,1,etec-tenente-aviador-gustavo-klug
