curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,101,40,2.52,2025,1,etec-pedro-darcadia-neto
Contabilidade,Noite,78,40,1.95,2025,1,etec-pedro-darcadia-neto
Desenvolvimento de Sistemas,Noite,85,40,2.12,2025,1,etec-pedro-darcadia-neto
Enfermagem,Manhã,83,40,2.07,2025,1,etec-pedro-darcadia-neto
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,285,40,7.12,2025,1,etec-pedro-darcadia-neto
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - MTec,Manhã,126,40,3.15,2025,1,etec-pedro-darcadia-neto
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec,Manhã,120,40,3,2025,1,etec-pedro-darcadia-neto
Mecânica,Noite,77,40,1.92,2025,1,etec-pedro-darcadia-neto
Química,Noite,50,30,1.66,2025,1,etec-pedro-darcadia-neto
