curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Desenvolvimento de Sistemas,Noite,113,40,2.82,2025,1,etec-jardim-angela
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-N,Noite,131,40,3.27,2025,1,etec-jardim-angela
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,326,80,4.07,2025,1,etec-jardim-angela
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec-PI,Manhã e Tarde,517,80,6.46,2025,1,etec-jardim-angela
Recursos Humanos,Noite,43,40,1.07,2025,1,etec-jardim-angela
Segurança do Trabalho,Noite,48,40,1.2,2025,1,etec-jardim-angela
