curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Enfermagem,Noite,91,30,3.03,2025,1,etec-doutor-francisco-nogueira-de-lima
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-N,Noite,41,40,1.02,2025,1,etec-doutor-francisco-nogueira-de-lima
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,60,40,1.5,2025,1,etec-doutor-francisco-nogueira-de-lima
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec-PI,Manhã e Tarde,56,40,1.4,2025,1,etec-doutor-francisco-nogueira-de-lima
Ensino Médio com Itinerário Formativo de Ciências da Natureza e suas Tecnologias,Manhã,78,40,1.95,2025,1,etec-doutor-francisco-nogueira-de-lima
Farmácia,Noite,44,40,1.1,2025,1,etec-doutor-francisco-nogueira-de-lima
Segurança do Trabalho,Noite,56,40,1.4,2025,1,etec-doutor-francisco-nogueira-de-lima
