curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,77,30,2.56,2025,1,etec-irma-agostina-ceu-cidade-dutra
Recursos Humanos,Noite,40,30,1.33,2025,1,etec-irma-agostina-ceu-cidade-dutra
