curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,55,40,1.37,2025,1,etec-machado-de-assis
Desenvolvimento de Sistemas,Noite,62,40,1.55,2025,1,etec-machado-de-assis
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,211,40,5.27,2025,1,etec-machado-de-assis
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec-PI,Manhã e Tarde,195,40,4.87,2025,1,etec-machado-de-assis
Ensino Médio com Habilitação Profissional de Técnico em Logística - Mtec-N,Noite,58,40,1.45,2025,1,etec-machado-de-assis
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - MTec-PI,Manhã e Tarde,101,40,2.52,2025,1,etec-machado-de-assis
Mecânica,Noite,66,40,1.65,2025,1,etec-machado-de-assis
